ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
00001,184.470086,-33.644752,1283365707.627
ParameterNumber,RA,DEC,freq
00026,184.462667,-33.629527,1283170284.555
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
00025,184.468268,-33.638046,1283299447.250
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
00017,184.408241,-33.598741,1288735758.409
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
00002,184.463257,-33.629597,1283171951.717
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
00018,184.461534,-33.629562,1283161935.180
00018,184.333996,-33.550910,1285957241.381
00018,184.382711,-33.561272,1288324248.495
00018,184.355396,-33.553865,1289586172.824
00018,184.354655,-33.535415,1292161140.918
00018,184.324760,-33.531977,1292921826.538
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
ParameterNumber,RA,DEC,freq
